caldt,vwretd,vwretx,sprtrn
19620228,0.019512,0.015252,0.016270
19620330,-0.004688,-0.006113,-0.005860
19620430,-0.063435,-0.064212,-0.061970
19620531,-0.084620,-0.089763,-0.085990
19620629,-0.082615,-0.084336,-0.081838
19620731,0.065438,0.064129,0.063562
19620831,0.023417,0.017888,0.015284
19620928,-0.050158,-0.051786,-0.048207
19621031,0.002188,0.000431,0.004443
19621130,0.110137,0.102924,0.101557
19621231,0.011865,0.010056,0.013492
19630131,0.051848,0.050475,0.049128
19630228,-0.021931,-0.026608,-0.028852
19630329,0.032917,0.031233,0.035464
19630430,0.047439,0.046435,0.048520
19630531,0.020051,0.014726,0.014327
19630628,-0.018030,-0.019459,-0.020198
19630731,-0.001717,-0.002995,-0.003460
19630830,0.052684,0.048035,0.048749
19630930,-0.011898,-0.013316,-0.011034
19631031,0.027708,0.026276,0.032218
19631129,-0.005549,-0.011692,-0.010539
19631231,0.021737,0.019978,0.024444
19640131,0.025790,0.024731,0.026926
19640228,0.017207,0.012653,0.009865
19640331,0.017636,0.015967,0.015167
19640430,0.004607,0.003672,0.006077
19640528,0.017403,0.012531,0.011452
19640630,0.015080,0.013413,0.016424
19640731,0.020118,0.019127,0.018240
19640831,-0.011266,-0.015575,-0.016230
19640930,0.030480,0.028792,0.028718
19641030,0.008869,0.007730,0.008078
19641130,0.003090,-0.002673,-0.005185
19641231,0.003690,0.001939,0.003909
19650129,0.038646,0.037663,0.033156
19650226,0.006946,0.002634,-0.001485
19650331,-0.009715,-0.011428,-0.014526
19650430,0.033652,0.032737,0.034239
19650528,-0.004351,-0.009102,-0.007743
19650630,-0.051868,-0.053592,-0.048632
19650730,0.016760,0.015871,0.013433
19650831,0.030883,0.026133,0.022522
19650930,0.031952,0.030357,0.032006
19651029,0.029271,0.028212,0.027345
19651130,0.003065,-0.002961,-0.008764
19651231,0.013545,0.011976,0.008951
19660131,0.012122,0.011231,0.004869
19660228,-0.008621,-0.013014,-0.017873
19660331,-0.020923,-0.022747,-0.021815
19660429,0.024837,0.023853,0.020509
19660531,-0.052538,-0.057483,-0.054140
19660630,-0.010317,-0.012063,-0.016138
19660729,-0.012870,-0.013831,-0.013453
19660831,-0.075388,-0.080712,-0.077751
19660930,-0.006958,-0.008696,-0.007004
19661031,0.042294,0.041171,0.047544
19661130,0.017516,0.010606,0.003117
19661230,0.006210,0.004410,-0.001492
19670131,0.085530,0.084077,0.078178
19670228,0.010945,0.006257,0.001963
19670331,0.043384,0.041582,0.039410
19670428,0.041609,0.040696,0.042239
19670531,-0.039293,-0.044217,-0.052441
19670630,0.026902,0.025341,0.017512
19670731,0.049190,0.048278,0.045344
19670831,-0.006282,-0.011073,-0.011715
19670929,0.034286,0.032875,0.032785
19671031,-0.027433,-0.028649,-0.029056
19671130,0.007902,0.002565,0.001065
19671229,0.033699,0.032203,0.026277
19680131,-0.036331,-0.037831,-0.043848
19680229,-0.033624,-0.038107,-0.031223
19680329,0.005117,0.003740,0.009400
19680430,0.094148,0.092730,0.081929
19680531,0.027040,0.022493,0.011169
19680628,0.011527,0.010038,0.009120
19680730,-0.022024,-0.023161,-0.018478
19680830,0.018037,0.013494,0.011459
19680930,0.044454,0.043207,0.038539
19681031,0.009041,0.007468,0.007208
19681129,0.058501,0.054124,0.047964
19681231,-0.033873,-0.035362,-0.041617
19690131,-0.006711,-0.007725,-0.008184
19690228,-0.053641,-0.057883,-0.047374
19690328,0.030505,0.029062,0.034444
19690430,0.020527,0.019346,0.021476
19690529,0.005040,0.000241,-0.002218
19690630,-0.067388,-0.068958,-0.055577
19690731,-0.065171,-0.066371,-0.060178
19690829,0.051491,0.046518,0.040074
19690930,-0.022590,-0.024167,-0.025024
19691031,0.055637,0.053770,0.044244
19691128,-0.032164,-0.036677,-0.035274
19691231,-0.019680,-0.021471,-0.018655
19700130,-0.073254,-0.074519,-0.076472
19700227,0.056706,0.051651,0.052693
19700331,-0.004729,-0.006569,0.001453
19700430,-0.105318,-0.106393,-0.090483
19700529,-0.064346,-0.069931,-0.060967
19700630,-0.051067,-0.053372,-0.050033
19700731,0.074170,0.072132,0.073295
19700831,0.050036,0.044584,0.044459
19700930,0.047535,0.045600,0.032998
19701030,-0.018208,-0.020450,-0.011400
19701130,0.050448,0.045355,0.047447
19701231,0.060723,0.058969,0.056766
19710129,0.052030,0.050772,0.040477
19710226,0.016913,0.012412,0.009074
19710331,0.044778,0.042972,0.036796
19710430,0.033332,0.032300,0.036288
19710528,-0.036409,-0.040737,-0.041558
